round_id,source,timestamp,multiplier,color,band,points,session_id
190,aviator,2026-07-24T14:09:23.238+00:00,2.3,"rgb(145, 62, 248)",base,136.049,1
191,aviator,2026-07-24T14:09:37.291+00:00,1.07,"rgb(52, 180, 255)",dust,102.928,1
192,aviator,2026-07-24T14:10:05.497+00:00,3.72,"rgb(145, 62, 248)",mid,156.859,1
193,aviator,2026-07-24T14:10:28.587+00:00,2.07,"rgb(145, 62, 248)",base,131.489,1
194,aviator,2026-07-24T14:11:50.604+00:00,350.25,"rgb(192, 23, 180)",cosmic,353.567,1
195,aviator,2026-07-24T14:12:07.752+00:00,1.25,"rgb(52, 180, 255)",floor,109.658,1
196,aviator,2026-07-24T14:12:31.949+00:00,2.47,"rgb(145, 62, 248)",base,139.135,1
197,aviator,2026-07-24T14:13:01.549+00:00,3.85,"rgb(145, 62, 248)",mid,158.346,1
198,aviator,2026-07-24T14:13:16.682+00:00,1.14,"rgb(52, 180, 255)",dust,105.671,1
199,aviator,2026-07-24T14:13:50.035+00:00,5.46,"rgb(145, 62, 248)",high,173.467,1
200,aviator,2026-07-24T14:14:04.136+00:00,1.09,"rgb(52, 180, 255)",dust,103.73,1
202,aviator,2026-07-24T14:14:30.286+00:00,3.05,"rgb(145, 62, 248)",mid,148.264,1
203,aviator,2026-07-24T14:14:46.575+00:00,1.27,"rgb(52, 180, 255)",floor,110.345,1
204,aviator,2026-07-24T14:15:07.781+00:00,1.87,"rgb(52, 180, 255)",low,127.091,1
205,aviator,2026-07-24T14:15:28.000+00:00,1.32,"rgb(52, 180, 255)",floor,112.016,1
206,aviator,2026-07-24T14:16:05.304+00:00,5.88,"rgb(145, 62, 248)",high,176.674,1
207,aviator,2026-07-24T14:16:20.330+00:00,1.08,"rgb(52, 180, 255)",dust,103.331,1
208,aviator,2026-07-24T14:16:49.412+00:00,3.62,"rgb(145, 62, 248)",mid,155.68,1
209,aviator,2026-07-24T14:17:03.578+00:00,1.13,"rgb(52, 180, 255)",dust,105.29,1
210,aviator,2026-07-24T14:17:22.663+00:00,1.62,"rgb(52, 180, 255)",low,120.88,1
211,aviator,2026-07-24T14:18:06.134+00:00,12.74,"rgb(192, 23, 180)",ignition,210.139,1
212,aviator,2026-07-24T14:18:34.194+00:00,2.47,"rgb(145, 62, 248)",base,139.135,1
213,aviator,2026-07-24T14:19:32.697+00:00,44.97,"rgb(192, 23, 180)",moonshot,264.727,1
214,aviator,2026-07-24T14:20:15.021+00:00,10.62,"rgb(192, 23, 180)",ignition,202.261,1
215,aviator,2026-07-24T14:20:34.261+00:00,1.53,"rgb(52, 180, 255)",low,118.406,1
216,aviator,2026-07-24T14:21:07.394+00:00,5.0,"rgb(145, 62, 248)",high,169.658,1
217,aviator,2026-07-24T14:21:24.446+00:00,1.29,"rgb(52, 180, 255)",floor,111.021,1
218,aviator,2026-07-24T14:21:39.508+00:00,1.19,"rgb(52, 180, 255)",dust,107.529,1
219,aviator,2026-07-24T14:21:53.546+00:00,1.07,"rgb(52, 180, 255)",dust,102.928,1
220,aviator,2026-07-24T14:22:15.633+00:00,2.0,"rgb(145, 62, 248)",base,130.0,1
221,aviator,2026-07-24T14:22:35.770+00:00,1.79,"rgb(52, 180, 255)",low,125.199,1
222,aviator,2026-07-24T14:23:00.856+00:00,2.78,"rgb(145, 62, 248)",base,144.253,1
223,aviator,2026-07-24T14:23:27.026+00:00,2.58,"rgb(145, 62, 248)",base,141.021,1
225,aviator,2026-07-24T14:23:48.223+00:00,1.81,"rgb(52, 180, 255)",low,125.68,1
226,aviator,2026-07-24T14:24:04.340+00:00,1.3,"rgb(52, 180, 255)",floor,111.355,1
227,aviator,2026-07-24T14:24:33.577+00:00,2.98,"rgb(145, 62, 248)",base,147.259,1
228,aviator,2026-07-24T14:25:00.754+00:00,3.23,"rgb(145, 62, 248)",mid,150.746,1
229,aviator,2026-07-24T14:25:29.936+00:00,3.95,"rgb(145, 62, 248)",mid,159.456,1
230,aviator,2026-07-24T14:25:50.194+00:00,1.87,"rgb(52, 180, 255)",low,127.091,1
231,aviator,2026-07-24T14:26:16.348+00:00,3.38,"rgb(145, 62, 248)",mid,152.711,1
232,aviator,2026-07-24T14:26:44.396+00:00,3.25,"rgb(145, 62, 248)",mid,151.013,1
233,aviator,2026-07-24T14:27:11.437+00:00,3.14,"rgb(145, 62, 248)",mid,149.523,1
234,aviator,2026-07-24T14:27:30.536+00:00,1.22,"rgb(52, 180, 255)",floor,108.606,1
236,aviator,2026-07-24T14:27:47.543+00:00,1.34,"rgb(52, 180, 255)",floor,112.667,1
237,aviator,2026-07-24T14:28:09.760+00:00,2.36,"rgb(145, 62, 248)",base,137.164,1
238,aviator,2026-07-24T14:28:45.189+00:00,5.66,"rgb(145, 62, 248)",high,175.024,1
239,aviator,2026-07-24T14:29:02.328+00:00,1.28,"rgb(52, 180, 255)",floor,110.684,1
240,aviator,2026-07-24T14:29:43.632+00:00,11.47,"rgb(192, 23, 180)",ignition,205.594,1
241,aviator,2026-07-24T14:29:59.816+00:00,1.23,"rgb(52, 180, 255)",floor,108.96,1
242,aviator,2026-07-24T14:30:22.135+00:00,1.54,"rgb(52, 180, 255)",low,118.688,1
243,aviator,2026-07-24T14:30:52.454+00:00,3.33,"rgb(145, 62, 248)",mid,152.066,1
244,aviator,2026-07-24T14:31:12.752+00:00,1.36,"rgb(52, 180, 255)",floor,113.308,1
245,aviator,2026-07-24T14:31:29.157+00:00,1.07,"rgb(52, 180, 255)",dust,102.928,1
247,aviator,2026-07-24T14:31:48.170+00:00,1.7,"rgb(52, 180, 255)",low,122.966,1
248,aviator,2026-07-24T14:32:04.175+00:00,1.28,"rgb(52, 180, 255)",floor,110.684,1
249,aviator,2026-07-24T14:32:19.341+00:00,1.27,"rgb(52, 180, 255)",floor,110.345,1
