id,source,session_id,timestamp,multiplier,color,raw_html,day_date,hour_interval,created_at
11,aviator,session_10330,2026-07-26T03:32:00.000Z,113.56,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 03:32 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 113.56x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,3,2026-07-27T20:22:18.044+00:00
12,aviator,session_10330,2026-07-26T01:57:00.000Z,94.3,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 01:57 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 94.30x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,1,2026-07-27T20:22:18.044+00:00
13,aviator,session_10330,2026-07-26T03:16:00.000Z,89.07,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 03:16 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 89.07x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,3,2026-07-27T20:22:18.044+00:00
14,aviator,session_10330,2026-07-26T05:00:00.000Z,85.38,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 05:00 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 85.38x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,5,2026-07-27T20:22:18.044+00:00
15,aviator,session_10330,2026-07-26T06:07:00.000Z,84.21,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 06:07 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 84.21x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,6,2026-07-27T20:22:18.044+00:00
16,aviator,session_10330,2026-07-26T01:59:00.000Z,82.79,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 01:59 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 82.79x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,1,2026-07-27T20:22:18.044+00:00
17,aviator,session_10330,2026-07-26T02:02:00.000Z,81.46,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 02:02 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 81.46x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,2,2026-07-27T20:22:18.044+00:00
18,aviator,session_10330,2026-07-26T02:49:00.000Z,73.42,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 02:49 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 73.42x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,2,2026-07-27T20:22:18.044+00:00
19,aviator,session_10330,2026-07-26T00:02:00.000Z,67.24,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 00:02 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 67.24x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,0,2026-07-27T20:22:18.044+00:00
20,aviator,session_10330,2026-07-26T06:25:00.000Z,60.53,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 06:25 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 60.53x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,6,2026-07-27T20:22:18.044+00:00
